2024-05-21 00:08:58,143 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:09:00,010 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:09:00,093 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:09:04,346 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3406e+02, 6.6025e-02, 4.3368e+02, 1.7435e+02])
2024-05-21 00:09:04,346 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,348 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,348 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:09:04,354 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1232,  27.9568, 351.0775, 107.9200])
2024-05-21 00:09:04,356 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,357 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,359 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:09:04,548 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3418e+02, 6.1722e-02, 4.3360e+02, 1.7439e+02])
2024-05-21 00:09:04,549 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,550 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,550 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:09:04,552 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1425,  28.0764, 352.4574, 108.2202])
2024-05-21 00:09:04,552 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,553 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,554 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:09:04,641 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3454e+02, 6.7215e-02, 4.3363e+02, 1.7440e+02])
2024-05-21 00:09:04,641 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,642 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,643 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:09:04,644 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([322.7666,  27.9867, 352.3468, 108.3493])
2024-05-21 00:09:04,644 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,645 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,645 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:09:04,742 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3457e+02, 5.4764e-02, 4.3353e+02, 1.7445e+02])
2024-05-21 00:09:04,742 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,744 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:09:04,744 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
