2024-05-21 00:41:17,687 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:41:19,558 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:41:19,626 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:41:24,183 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3406e+02, 6.6025e-02, 4.3368e+02, 1.7435e+02])
2024-05-21 00:41:24,184 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,185 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,191 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:41:24,195 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1232,  27.9568, 351.0775, 107.9200])
2024-05-21 00:41:24,195 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,195 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,196 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:41:24,396 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3418e+02, 6.1722e-02, 4.3360e+02, 1.7439e+02])
2024-05-21 00:41:24,396 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,397 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,399 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:41:24,400 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1425,  28.0764, 352.4574, 108.2202])
2024-05-21 00:41:24,401 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,403 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,405 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:41:24,510 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3454e+02, 6.7215e-02, 4.3363e+02, 1.7440e+02])
2024-05-21 00:41:24,510 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,512 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,513 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:41:24,518 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([322.7666,  27.9867, 352.3468, 108.3493])
2024-05-21 00:41:24,520 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,522 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,524 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:41:24,604 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3457e+02, 5.4764e-02, 4.3353e+02, 1.7445e+02])
2024-05-21 00:41:24,605 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,605 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:41:24,606 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
