2024-05-21 00:58:00,306 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:58:02,048 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:58:02,058 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:58:08,710 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([319.9714,  57.9091, 367.0164, 211.7242])
2024-05-21 00:58:08,712 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:08,713 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:08,721 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:08,812 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([315.3676,  60.0909, 366.6791, 212.1330])
2024-05-21 00:58:08,813 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:08,814 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:08,815 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:09,034 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.6244,  61.2661, 366.5051, 212.3515])
2024-05-21 00:58:09,036 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,037 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,038 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:09,107 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([301.6306,  60.0366, 366.3102, 222.8638])
2024-05-21 00:58:09,108 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,109 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,110 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:09,174 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([317.8477,  59.3607, 366.3387, 223.2634])
2024-05-21 00:58:09,175 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,175 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,176 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:09,233 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([313.7956,  59.6831, 364.5053, 221.3242])
2024-05-21 00:58:09,234 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,234 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,235 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:58:09,291 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([309.3268,  59.6888, 362.0405, 221.0215])
2024-05-21 00:58:09,292 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,292 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:58:09,293 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
