2024-05-21 00:38:43,531 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:38:45,375 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:38:45,439 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:38:49,584 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3406e+02, 6.6025e-02, 4.3368e+02, 1.7435e+02])
2024-05-21 00:38:49,584 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,585 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,586 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:49,587 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1232,  27.9568, 351.0775, 107.9200])
2024-05-21 00:38:49,588 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,588 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,589 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:49,725 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3418e+02, 6.1722e-02, 4.3360e+02, 1.7439e+02])
2024-05-21 00:38:49,726 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,727 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,727 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:49,729 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1425,  28.0764, 352.4574, 108.2202])
2024-05-21 00:38:49,730 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,730 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,731 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:49,807 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3454e+02, 6.7215e-02, 4.3363e+02, 1.7440e+02])
2024-05-21 00:38:49,808 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,810 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:49,811 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:49,813 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([322.7666,  27.9867, 352.3468, 108.3493])
