2024-05-18 13:49:08,733 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-18 13:49:10,187 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-18 13:49:10,240 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 8
2024-05-18 13:49:12,684 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3406e+02, 6.6025e-02, 4.3368e+02, 1.7435e+02])
2024-05-18 13:49:12,684 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,685 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,686 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:12,687 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1232,  27.9568, 351.0775, 107.9200])
2024-05-18 13:49:12,688 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,688 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,689 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-18 13:49:12,764 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3418e+02, 6.1722e-02, 4.3360e+02, 1.7439e+02])
2024-05-18 13:49:12,764 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,764 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,765 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:12,766 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1425,  28.0764, 352.4574, 108.2202])
2024-05-18 13:49:12,766 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,766 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,767 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-18 13:49:12,807 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3454e+02, 6.7215e-02, 4.3363e+02, 1.7440e+02])
2024-05-18 13:49:12,807 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,808 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,808 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:12,809 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([322.7666,  27.9867, 352.3468, 108.3493])
2024-05-18 13:49:12,809 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,809 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,810 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-18 13:49:12,848 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3457e+02, 5.4764e-02, 4.3353e+02, 1.7445e+02])
2024-05-18 13:49:12,848 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,849 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,850 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:12,850 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.5961,  30.6260, 351.6978, 108.1572])
2024-05-18 13:49:12,851 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,851 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,852 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-18 13:49:12,890 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3454e+02, 5.7953e-02, 4.3356e+02, 1.7448e+02])
2024-05-18 13:49:12,890 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,892 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,892 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:12,892 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.5731,  33.0717, 351.7427, 108.1782])
2024-05-18 13:49:12,892 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,894 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,894 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-18 13:49:12,931 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3475e+02, 6.9977e-02, 4.3351e+02, 1.7451e+02])
2024-05-18 13:49:12,931 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,932 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,932 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:12,970 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3477e+02, 6.5979e-02, 4.3345e+02, 1.7455e+02])
2024-05-18 13:49:12,970 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,971 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:12,971 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:13,008 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3472e+02, 6.5903e-02, 4.3339e+02, 1.7457e+02])
2024-05-18 13:49:13,009 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:13,009 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:13,010 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
2024-05-18 13:49:13,047 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3462e+02, 5.7632e-02, 4.3332e+02, 1.7451e+02])
2024-05-18 13:49:13,048 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:13,048 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-18 13:49:13,049 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 4.00%
